Tournament Name,Date,Players,Player multiplier,Age multiplier,Multiplier
Enschede,2023-04-22,70,1.0,0.4,0.4
Groningen,2023-05-27,42,1.47,0.4,0.59
Amsterdam,2023-06-17,84,2.51,0.4,1.01
NK,2023-09-02,38,2.13,0.4,0.85
Enschede,2023-11-26,24,1.81,0.6,1.08
Amsterdam,2024-01-20,56,1.86,0.6,1.12
Groningen,2024-02-11,38,1.89,0.6,1.13
Enschede,2024-04-06,34,2.07,0.8,1.66
Groningen,2024-05-04,38,1.87,0.8,1.49
Amsterdam,2024-06-01,36,1.88,0.8,1.5
NK,2024-06-29,40,2.26,0.8,1.81
EnschedeIndoor,2024-11-30,24,1.47,1.0,1.47
GroningenIndoor,2025-01-19,10,1.16,1.0,1.16
AmsterdamIndoor,2025-02-23,16,1.16,1.0,1.16
UtrechtIndoor,2025-03-15,16,1.18,1.0,1.18
Groningen,2025-05-03,20,1.29,1.0,1.29
Enschede,2025-06-01,38,1.75,1.0,1.75
Amsterdam,2025-06-14,24,1.56,1.0,1.56
Utrecht,2025-07-20,30,1.87,1.0,1.87
Almere,2025-09-13,26,2.12,1.0,2.12
